ticket_key,issue_type,severity
1,Loan Query,Critical
2,Card Problem,Medium
3,Card Problem,Low
4,Loan Query,High
5,Fraud Alert,Low
6,Card Problem,Low
7,Loan Query,Medium
8,Fraud Alert,Low
9,Billing,Low
10,App Bug,Low
11,Billing,Medium
12,App Bug,High
13,Loan Query,Low
14,Card Problem,Low
15,Loan Query,High
16,Login Issue,Medium
17,Fraud Alert,High
18,Fraud Alert,Medium
19,App Bug,Low
20,App Bug,Low
21,App Bug,Critical
22,Billing,Low
23,Card Problem,Low
24,Login Issue,High
25,Billing,Low
26,Fraud Alert,Low
27,Billing,Medium
28,Card Problem,Low
29,Fraud Alert,High
30,Login Issue,Medium
31,Billing,Low
32,App Bug,High
33,Card Problem,Low
34,Fraud Alert,High
35,Loan Query,Medium
36,Fraud Alert,Low
37,Fraud Alert,High
38,Fraud Alert,High
39,Card Problem,Medium
40,Loan Query,Low
41,Fraud Alert,Critical
42,Billing,Medium
43,Loan Query,Low
44,Loan Query,Low
45,Loan Query,Medium
46,Billing,Low
47,Loan Query,Medium
48,Billing,Low
49,App Bug,Low
50,Loan Query,High
51,Card Problem,Low
52,Billing,Low
53,Login Issue,Medium
54,Card Problem,High
55,Billing,Critical
56,Billing,High
57,Card Problem,Low
58,Billing,High
59,Fraud Alert,Low
60,Billing,Medium
61,Fraud Alert,Medium
62,App Bug,Medium
63,App Bug,Medium
64,Billing,Medium
65,Fraud Alert,Medium
66,Card Problem,Low
67,Billing,Medium
68,App Bug,Medium
69,Loan Query,Low
70,App Bug,Low
71,Loan Query,Low
72,Billing,Low
73,Loan Query,Medium
74,Login Issue,High
76,Fraud Alert,Low
77,Login Issue,Low
78,App Bug,Medium
79,Login Issue,Low
80,Billing,High
81,Fraud Alert,Medium
82,Loan Query,High
83,Card Problem,Medium
84,Login Issue,Medium
85,Loan Query,Low
86,App Bug,Medium
87,Loan Query,Low
88,Card Problem,Low
89,App Bug,Medium
90,Card Problem,Medium
91,App Bug,Medium
92,Billing,Low
93,Login Issue,Medium
94,App Bug,Medium
95,App Bug,Medium
96,Loan Query,Medium
97,Fraud Alert,Medium
98,Login Issue,Medium
99,Loan Query,High
100,Login Issue,Low
101,Login Issue,Medium
102,App Bug,Medium
103,Login Issue,Medium
104,Card Problem,Low
105,Billing,Medium
106,App Bug,Medium
107,Card Problem,High
108,Login Issue,Low
109,App Bug,Low
110,Billing,Low
111,Login Issue,Medium
112,App Bug,High
113,Card Problem,Medium
114,Login Issue,Critical
115,Fraud Alert,Low
116,App Bug,Medium
117,Billing,Low
118,Fraud Alert,Medium
119,App Bug,Low
120,Fraud Alert,Low
121,Login Issue,Medium
122,Card Problem,Medium
123,App Bug,Medium
124,App Bug,High
126,Card Problem,Medium
127,Login Issue,Critical
128,Fraud Alert,Medium
129,Loan Query,Low
130,Fraud Alert,Low
131,Loan Query,Low
132,App Bug,Low
133,Card Problem,High
134,Card Problem,High
135,Fraud Alert,Low
136,Fraud Alert,Medium
137,Billing,Medium
138,App Bug,Low
139,App Bug,Low
140,Card Problem,Critical
141,Billing,Medium
142,Fraud Alert,Low
143,Loan Query,High
145,Loan Query,Low
146,Login Issue,Medium
147,Loan Query,Low
148,Billing,Medium
149,App Bug,Medium
150,Fraud Alert,Low
151,Billing,Critical
152,App Bug,Critical
153,Fraud Alert,Low
154,App Bug,Critical
155,Card Problem,Medium
156,Card Problem,High
157,Fraud Alert,Low
158,Card Problem,Medium
159,App Bug,Medium
160,Billing,Low
161,App Bug,Low
162,Login Issue,High
163,Login Issue,Low
164,Billing,High
165,Billing,Medium
166,App Bug,Medium
167,Card Problem,Medium
168,Login Issue,Medium
169,Card Problem,Medium
170,Billing,Low
171,Login Issue,High
172,Billing,Critical
173,App Bug,Medium
174,App Bug,Critical
175,Card Problem,Low
176,Card Problem,Low
177,Login Issue,High
178,App Bug,Medium
179,App Bug,Low
180,Fraud Alert,Medium
181,App Bug,Low
182,Card Problem,Medium
184,Loan Query,Low
185,Fraud Alert,Low
186,Login Issue,Medium
187,Card Problem,Low
188,App Bug,Medium
189,Card Problem,High
190,App Bug,Low
191,Fraud Alert,High
192,Card Problem,Medium
193,Loan Query,Medium
194,Billing,Medium
195,App Bug,Medium
196,Card Problem,Medium
197,Billing,Critical
198,Fraud Alert,Medium
199,Card Problem,Low
200,Fraud Alert,Medium
201,Loan Query,Low
202,Fraud Alert,Medium
203,Login Issue,High
204,Fraud Alert,Low
205,Loan Query,Critical
206,Login Issue,Low
207,Loan Query,Low
208,Fraud Alert,Low
209,Billing,Low
210,Billing,Low
211,Card Problem,Medium
212,Fraud Alert,Low
213,Card Problem,Medium
214,Card Problem,Critical
215,App Bug,Medium
216,Fraud Alert,Low
217,App Bug,High
218,Loan Query,Medium
219,Login Issue,Low
220,Fraud Alert,High
221,Billing,Low
222,Login Issue,Low
223,Card Problem,Medium
224,Card Problem,Medium
225,Card Problem,Medium
226,Billing,High
227,Loan Query,High
228,Card Problem,Medium
229,Loan Query,Low
230,App Bug,Medium
231,App Bug,Medium
232,Loan Query,Medium
233,Loan Query,Medium
234,Fraud Alert,Low
235,Login Issue,Low
236,Billing,Medium
237,Loan Query,Medium
238,Login Issue,High
239,Billing,High
240,Fraud Alert,Medium
241,Login Issue,Low
242,Billing,High
243,Card Problem,Low
244,Billing,Low
245,Card Problem,High
246,Login Issue,Medium
247,Card Problem,Medium
248,Loan Query,Low
249,Billing,Medium
250,Login Issue,High
251,Billing,Low
252,App Bug,Medium
253,Fraud Alert,Low
254,Fraud Alert,Low
255,Fraud Alert,Low
256,Card Problem,Medium
257,Loan Query,Medium
258,Loan Query,Medium
259,Login Issue,Critical
260,Billing,High
261,Login Issue,Low
262,Billing,High
263,App Bug,Low
264,Login Issue,Low
265,Fraud Alert,Critical
266,App Bug,High
267,Login Issue,Low
