customer_id,offer_id,offer_type,accepted,date_offered,accepted_flag,date_offered_key
15683930,1057,Rate Discount,false,2024-09-23,No,2024-09-23
15766374,1244,Loyalty Bonus,true,2025-10-06,Yes,2025-10-06
15600734,1578,Rate Discount,true,2026-07-05,Yes,2026-07-05
15780954,1591,Fee Waiver,false,2026-02-24,No,2026-02-24
15581440,1886,Rate Discount,false,2026-01-14,No,2026-01-14
15642468,1925,Loyalty Bonus,false,2024-11-19,No,2024-11-19
15759436,2043,Rate Discount,false,2024-10-19,No,2024-10-19
15756472,2175,Product Upgrade,false,2025-05-19,No,2025-05-19
15685109,2259,Product Upgrade,true,2025-04-05,Yes,2025-04-05
15577178,2413,Fee Waiver,true,2026-05-20,Yes,2026-05-20
15791373,2574,Fee Waiver,false,2025-10-08,No,2025-10-08
15742204,2608,Loyalty Bonus,false,2024-11-10,No,2024-11-10
15587419,2632,Product Upgrade,true,2024-11-13,Yes,2024-11-13
15586629,2908,Unknown,true,2025-04-15,Yes,2025-04-15
15707199,2918,Loyalty Bonus,false,2026-06-10,No,2026-06-10
15756751,3065,Product Upgrade,true,2026-05-12,Yes,2026-05-12
15602797,3099,Loyalty Bonus,false,2024-09-11,No,2024-09-11
15659736,3192,Cashback,true,2025-02-09,Yes,2025-02-09
15656029,3668,Product Upgrade,false,2026-02-16,No,2026-02-16
15774536,3843,Cashback,false,2025-07-20,No,2025-07-20
15752885,3873,Loyalty Bonus,false,"",No,1900-01-01
15803406,394,Cashback,true,2025-09-08,Yes,2025-09-08
15669589,4062,Cashback,false,2026-01-07,No,2026-01-07
15579616,4248,Fee Waiver,false,2024-11-16,No,2024-11-16
15798256,4398,Fee Waiver,false,2025-08-28,No,2025-08-28
15670343,4507,Loyalty Bonus,true,2026-05-07,Yes,2026-05-07
15643158,4732,Product Upgrade,true,2025-05-27,Yes,2025-05-27
15638231,4996,Rate Discount,true,2025-02-17,Yes,2025-02-17
15684296,6335,Rate Discount,true,2024-11-08,Yes,2024-11-08
15789557,6457,Fee Waiver,true,2026-05-01,Yes,2026-05-01
15775108,6510,Product Upgrade,true,2026-03-07,Yes,2026-03-07
15774402,6542,Rate Discount,true,2025-07-02,Yes,2025-07-02
15617304,6629,Product Upgrade,false,2025-07-05,No,2025-07-05
15665879,6892,Fee Waiver,true,2025-10-27,Yes,2025-10-27
15752312,7148,Rate Discount,true,2024-09-26,Yes,2024-09-26
15758750,7360,Rate Discount,true,2024-11-24,Yes,2024-11-24
15697497,741,Cashback,true,2026-04-06,Yes,2026-04-06
15696733,7673,Product Upgrade,true,2026-07-19,Yes,2026-07-19
15779059,877,Product Upgrade,false,2026-01-13,No,2026-01-13
