ticket_id,customer_id,issue_type,severity,resolution_time_hrs
1,15634602,NULL,Critical,94.3
2,15634602,Card Problem,Medium,11.1
3,15647311,Card Problem,Low,1.3
4,15701354,Loan Query,High,17.1
5,15701354,Fraud Alert,Low,1.6
6,15701354,Card Problem,Low,1.0
7,15701354,Loan Query,Medium,5.1
8,15737888,Fraud Alert,Low,1.2
9,15737888,Billing,Low,2.0
10,15737888,App Bug,Low,2.2
11,15737888,Billing,Medium,4.1
12,15574012,App Bug,High,26.6
13,15574012,Loan Query,Low,2.0
14,15574012,Card Problem,Low,3.0
15,15574012,Loan Query,High,24.4
16,15656148,Login Issue,Medium,7.0
17,15656148,Fraud Alert,High,57.1
18,15792365,Fraud Alert,Medium,6.6
19,15792365,App Bug,Low,1.1
20,15792365,App Bug,Low,1.5
21,15592389,App Bug,Critical,53.1
22,15737173,Billing,Low,3.0
23,15737173,Card Problem,Low,1.0
24,15691483,Login Issue,High,26.5
25,15691483,Billing,Low,1.2
26,15600882,Fraud Alert,Low,1.1
27,15737452,Billing,Medium,18.2
28,15737452,Card Problem,Low,4.9
29,15737452,Fraud Alert,High,38.9
30,15788218,login issue,Medium,7.4
31,15661507,Billing,Low,2.8
32,15577657,App Bug,High,18.0
33,15597945,Card Problem,Low,2.9
34,15699309,Fraud Alert,High,42.0
35,15699309,Loan Query,Medium,17.9
36,15699309,Fraud Alert,Low,2.7
37,15725737,Fraud Alert,High,33.5
38,15736816,Fraud Alert,High,32.7
39,15700772,Card Problem,Medium,5.8
40,15589475,Loan Query,Low,3.2
41,15706552,Fraud Alert,Critical,70.2
42,15750181,Billing,Medium,unknown
43,15750181,Loan Query,Low,3.0
44,15794171,Loan Query,Low,1.6
45,15794171,Loan Query,Medium,12.8
46,15794171,Billing,Low,2.5
47,15794171,Loan Query,Medium,9.9
48,15788448,Billing,Low,2.6
49,15788448,App Bug,Low,2.0
50,15788448,Loan Query,High,19.8
51,15788448,Card Problem,Low,2.0
52,15585768,Billing,Low,2.0
53,15585768,Login Issue,Medium,9.9
54,15585768,Card Problem,High,33.1
55,15738148,Billing,Critical,73.6
56,15684171,Billing,High,-1.0
57,15684171,Card Problem,Low,2.4
58,15684171,Billing,High,21.7
59,15754849,Fraud Alert,Low,1.3
60,15602280,Billing,Medium,10.0
61,15602280,Fraud Alert,Medium,4.1
62,15602280,App Bug,Medium,15.1
63,15771573,App Bug,Medium,unknown
64,15771873,Billing,Medium,9.8
65,15616550,Fraud Alert,Medium,9.1
66,15683553,Card Problem,Low,2.8
67,15683553,Billing,Medium,6.8
68,15683553,App Bug,Medium,7.9
69,15683553,Loan Query,Low,2.0
70,15569590,App Bug,Low,4.8
71,15569590,Loan Query,Low,4.5
72,15569590,  Billing  ,Low,4.7
73,15760861,Loan Query,Medium,11.8
74,15647091,Login Issue,High,19.6
75,15942745,Fraud Alert,Critical,90.8
76,15623944,Fraud Alert,Low,3.5
77,15804771,Login Issue,Low,1.6
78,15651280,App Bug,Medium,Unknown
79,15651280,Login Issue,Low,1.8
80,15773469,Billing,High,24.3
81,15773469,Fraud Alert,Medium,5.6
82,15773469,Loan Query,High,33.4
83,15702014,Card Problem,Medium,9.4
84,15751208,Login Issue,Medium,6.3
85,15592461,NULL,Low,1.1
86,15592461,App Bug,Medium,6.6
87,15592461,Loan Query,Low,2.9
88,15789484,Card Problem,Low,1.8
89,15789484,App Bug,Medium,9.8
90,15696061,Card Problem,Medium,4.3
91,15696061,App Bug,Medium,4.6
92,15696061,Billing,Low,1.2
93,15696061,Login Issue,Medium,4.5
94,15755648,App Bug,Medium,9.3
95,15703793,App Bug,Medium,14.5
96,15703793,Loan Query,Medium,10.7
97,15703793,Fraud Alert,Medium,6.5
98,15780961,Login Issue,Medium,7.8
99,15780961,Loan Query,High,31.4
100,15780961,Login Issue,Low,1.9
101,15614049,Login Issue,Medium,4.4
102,15662085,App Bug,Medium,10.9
103,15575185,Login Issue,Medium,11.6
104,15575185,Card Problem,Low,2.2
105,15803136,Billing,Medium,8.6
106,15803136,App Bug,Medium,8.4
107,15706021,Card Problem,High,27.6
108,15663706,Login Issue,Low,1.4
109,15701164,App Bug,Low,2.3
110,15738751,Billing,Low,2.6
111,15738751,Login Issue,Medium,9.5
112,15805254,App Bug,High,29.6
113,15762418,Card Problem,Medium,10.8
114,15762418,Login Issue,Critical,63.6
115,15762418,Fraud Alert,Low,3.3
116,15762418,App Bug,Medium,7.8
117,15625759,Billing,Low,1.8
118,15625759,Fraud Alert,Medium,10.6
119,15622897,App Bug,Low,1.2
120,15767954,Fraud Alert,Low,1.6
121,15767954,Login Issue,Medium,7.9
122,15767954,Card Problem,Medium,7.6
123,15757535,App Bug,Medium,7.4
124,15757535,App Bug,High,49.9
125,72231211,Fraud Alert,Critical,117.5
126,15731511,Card Problem,Medium,-1.0
127,15809248,Login Issue,Critical,57.0
128,15809248,Fraud Alert,  Medium  ,4.8
129,15640635,,Low,2.6
130,15640635,Fraud Alert,Low,2.0
131,15676966,loan query,Low,1.7
132,15676966,App Bug,Low,2.8
