customer_id,age,gender,geography,is_active,tenure_months,date_opened,credit_score,balance,num_products,has_cr_card,estimated_salary,is_churned
15634602,42,Female,France,1,24,1/9/2024,619,0,1,1,101348.88,1
15647311,41,Female,Spain,1,12,1/9/2025,608,83807.86,1,0,112542.58,0
15619304,42,Female,France,0,96,3/9/2018,502,159660.8,3,1,113931.57,1
15701354,39,Female,France,0,12,1/9/2025,699,0,2,0,93826.63,0
15737888,years 43,Female,Spain,1,24,1/9/2024,850,125510.82,1,1,79084.1,0
15574012,44,Male,Spain,0,96,3/9/2018,645,113755.78,2,1,149756.71,1
15592531,50,Male,France,1,84,3/9/2019,822,0,2,1,10062.8,0
15656148,29,Female,Germany,0,48,2/9/2022,376,115046.74,4,1,119346.88,1
15792365,44,Male,France,1,48,2/9/2022,501,142051.07,2,0,74940.5,0
15592389,27,Male,France,1,24,1/9/2024,684,134603.88,1,1,71725.73,0
15767821,31,Male,France,0,72,2/9/2020,528,102016.72,2,0,80181.12,0
15737173,24,male,Spain,0,36,2/9/2023,497,0,2,1,76390.01,0
15632264,34,Female,France,0,120,3/9/2016,476,0,2,1,26260.98,0
15691483,25,Female,France,0,60,2/9/2021,549,0,2,0,190857.79,0
15600882,35,Female,Spain,1,84,3/9/2019,635,0,2,1,65951.65,0
15643966,45,Male,Germany,1,36,2/9/2023,616,143129.41,2,0,64327.26,0
15737452,58,Male,  Germany  ,0,12,1/9/2025,653,132602.88,1,1,5097.67,1
15788218,24,Female,Spain,1,108,3/9/2017,549,0,2,1,14406.41,0
15661507,45,Male,Spain,0,72,2/9/2020,587,0,1,0,158684.81,0
15568982,24,Female,France,1,72,2/9/2020,726,0,2,1,54724.03,0
15577657,41,Male,France,1,96,3/9/2018,732,0,2,1,170886.17,0
15597945,32,Female,Spain,0,96,3/9/2018,636,0,2,1,138555.46,0
15699309,38,Female,Spain,0,48,2/9/2022,510,0,1,1,118913.53,1
15725737,46,Male,France,1,36,2/9/2023,669,0,2,0,8487.75,0
15625047,38,  Female  ,France,1,60,2/9/2021,846,0,1,1,187616.16,0
15738191,25,Male,France,1,36,2/9/2023,577,0,2,0,124508.29,0
15736816,36,Male,Germany,1,24,1/9/2024,756,136815.64,1,1,170041.95,0
15700772,44,Male,France,0,108,3/9/2017,571,0,2,0,38433.35,0
15728693,43,Female,Germany,1,36,2/9/2023,574,141349.43,1,1,100187.43,0
15656300,29,Male,France,1,0,1/9/2026,411,59697.17,2,1,53483.21,0
15589475,39,Female,Spain,0,36,2/9/2023,591,0,3,1,140469.38,1
15706552,36,Male,France,1,84,3/9/2019,533,85311.7,1,0,156731.91,0
15750181,41,Male,Germany,0,108,3/9/2017,553,110112.54,2,0,81898.81,0
15659428,42,Female,Spain,1,72,2/9/2020,520,0,2,1,34410.55,0
15732963,29,Female,ES,1,108,3/9/2017,722,0,2,1,142033.07,0
15794171,45,Female,France,0,0,1/9/2026,475,134264.04,1,1,27822.99,1
15788448,31,Male,Spain,1,36,2/9/2023,490,145260.23,1,0,114066.77,0
15729599,33,Male,Spain,1,84,3/9/2019,804,76548.6,1,0,98453.45,0
15717426,36,Male,France,1,84,3/9/2019,850,0,1,1,40812.9,0
15585768,years 41,Male,Germany,1,72,2/9/2020,582,70349.48,2,0,178074.04,0
15619360,40,Male,Spain,0,48,2/9/2022,472,0,1,1,70154.22,0
